code,name,hierarchy_level,hierarchy_level_name,parent_loc_code,lang_code,is_active,cr_by,cr_dtimes
128,ጎሎልቻ,4,ወረዳ,BAL,amh,t,110011,2021-02-10 07:57:45.892058
129,Goro,4,Woreda,BAL,eng,t,110011,2021-02-10 07:57:45.892058
129,ጎሮ,4,ወረዳ,BAL,amh,t,110011,2021-02-10 07:57:45.892058
130,Gurdamole,4,Woreda,BAL,eng,t,110011,2021-02-10 07:57:45.892058
130,ጉራዳሞሌ,4,ወረዳ,BAL,amh,t,110011,2021-02-10 07:57:45.892058
131,Harana Buluk,4,Woreda,BAL,eng,t,110011,2021-02-10 07:57:45.892058
131,ሃራና ቡሉክ,4,ወረዳ,BAL,amh,t,110011,2021-02-10 07:57:45.892058
132,Legahida,4,Woreda,BAL,eng,t,110011,2021-02-10 07:57:45.892058
132,ለጋ ሂዳ,4,ወረዳ,BAL,amh,t,110011,2021-02-10 07:57:45.892058
133,Madda Wolabu,4,Woreda,BAL,eng,t,110011,2021-02-10 07:57:45.892058
133,ማዳ ወላቡ,4,ወረዳ,BAL,amh,t,110011,2021-02-10 07:57:45.892058
134,Rayitu,4,Woreda,BAL,eng,t,110011,2021-02-10 07:57:45.892058
134,ራይቱ,4,ወረዳ,BAL,amh,t,110011,2021-02-10 07:57:45.892058
135,Roobe,4,Woreda,BAL,eng,t,110011,2021-02-10 07:57:45.892058
135,ሮቤ,4,ወረዳ,BAL,amh,t,110011,2021-02-10 07:57:45.892058
136,Sawina,4,Woreda,BAL,eng,t,110011,2021-02-10 07:57:45.892058
136,ሳወና,4,ወረዳ,BAL,amh,t,110011,2021-02-10 07:57:45.892058
137,Senana,4,Woreda,BAL,eng,t,110011,2021-02-10 07:57:45.892058
137,ስናና,4,ወረዳ,BAL,amh,t,110011,2021-02-10 07:57:45.892058
138,Dinsho,4,Woreda,BAL,eng,t,110011,2021-02-10 07:57:45.892058
138,ዲንሾ,4,ወረዳ,BAL,amh,t,110011,2021-02-10 07:57:45.892058
139,Gindhir,4,Woreda,BAL,eng,t,110011,2021-02-10 07:57:45.892058
139,ጊንዲር,4,ወረዳ,BAL,amh,t,110011,2021-02-10 07:57:45.892058
140,Goba,4,Woreda,BAL,eng,t,110011,2021-02-10 07:57:45.892058
140,ጎባ,4,ወረዳ,BAL,amh,t,110011,2021-02-10 07:57:45.892058
